zone_id,all,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
73,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
74,2474.0,68.0,70.0,38.0,36.0,46.0,20.0,26.0,53.0,88.0,134.0,168.0,178.0,212.0,219.0,173.0,123.0,124.0,110.0,124.0,107.0,75.0,100.0,84.0,98.0
75,2398.0,85.0,75.0,63.0,36.0,47.0,33.0,53.0,91.0,73.0,71.0,96.0,138.0,108.0,131.0,120.0,154.0,136.0,129.0,140.0,114.0,123.0,126.0,129.0,127.0
76,56.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,6.0,8.0,7.0
77,21.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0
78,30.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,5.0,3.0,3.0,3.0,1.0,0.0,2.0
79,3483.0,244.0,213.0,144.0,125.0,60.0,17.0,19.0,32.0,61.0,64.0,85.0,129.0,145.0,170.0,165.0,188.0,154.0,183.0,176.0,247.0,219.0,256.0,206.0,181.0
80,204.0,22.0,16.0,15.0,21.0,13.0,6.0,2.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,10.0,6.0,6.0,13.0,9.0,5.0,5.0,6.0,14.0,17.0
81,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
82,244.0,16.0,25.0,23.0,12.0,20.0,12.0,6.0,6.0,5.0,2.0,5.0,8.0,2.0,6.0,2.0,4.0,9.0,9.0,14.0,5.0,17.0,11.0,16.0,9.0
83,103.0,10.0,9.0,9.0,8.0,8.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,7.0,4.0,8.0,2.0,6.0,7.0
